Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-07-19,2026 Ranked,,https://boxd.it/VO1xO,Trying to break the cycle and watch new movies this year

Position,Name,Year,URL,Description
1,Project Hail Mary,2026,https://boxd.it/pEeQ,
2,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a,
3,Tuner,2025,https://boxd.it/POtS,
4,Remarkably Bright Creatures,2026,https://boxd.it/OZJq,
5,Backrooms,2026,https://boxd.it/EY6W,
6,Coyote vs. Acme,2026,https://boxd.it/JHdm,
7,Tony,2026,https://boxd.it/OJaa,
8,The Invite,2026,https://boxd.it/zRNY,
9,"Good Luck, Have Fun, Don't Die",2025,https://boxd.it/Glua,
10,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE,
11,The Odyssey,2026,https://boxd.it/QFQU,
12,Iron Lung,2026,https://boxd.it/GdtI,
13,Zootopia 2,2025,https://boxd.it/F0vO,
14,Toy Story 5,2026,https://boxd.it/F06E,
15,The Drama,2026,https://boxd.it/OA2w,
16,Hoppers,2026,https://boxd.it/OFpg,
17,Hadestown: The Musical,2026,https://boxd.it/Th8A,
18,The Sheep Detectives,2026,https://boxd.it/NDSe,
19,Obsession,2025,https://boxd.it/PNqo,
20,Minions & Monsters,2026,https://boxd.it/Odry,
21,Pizza Movie,2026,https://boxd.it/Vvtc,
22,Heartstopper Forever,2026,https://boxd.it/Ur2Y,
23,Girls Like Girls,2026,https://boxd.it/RL40,
24,The Super Mario Galaxy Movie,2026,https://boxd.it/KzPa,
25,Joe's College Road Trip,2026,https://boxd.it/Lh06,
26,The Dink,2026,https://boxd.it/Qqse,
27,Send Help,2026,https://boxd.it/JuhA,
28,Supergirl,2026,https://boxd.it/ESyU,
