Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-11,Doppelgängers ,,https://boxd.it/TOGE4,"My friend doesn’t believe me that there has been an influx in movies where there are dopplegangers / actors that play different characters. 

It is the 2020s version of the influx of time travel movies in the 1980s"

Position,Name,Year,URL,Description
1,Mickey 17,2025,https://boxd.it/q1Dk,
2,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,
3,Sinners,2025,https://boxd.it/KQMM,
4,Mike & Nick & Nick & Alice,2026,https://boxd.it/Gcfg,
5,Superman,2025,https://boxd.it/E9IU,
6,Companion,2025,https://boxd.it/F04o,
7,Playdate,2025,https://boxd.it/LvYO,
8,Tenet,2020,https://boxd.it/leq4,
9,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
10,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
11,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
12,Lightyear,2022,https://boxd.it/qV1G,
13,Jack and Jill,2011,https://boxd.it/2pQu,
14,The Parent Trap,1998,https://boxd.it/1XJq,
15,Frankenstein,2025,https://boxd.it/Ecsg,
16,There Will Be Blood,2007,https://boxd.it/20Z2,
17,X,2022,https://boxd.it/sxVa,
18,Madea's Destination Wedding,2025,https://boxd.it/Lo5M,
19,Men,2022,https://boxd.it/tlc0,
20,What Happened to Monday,2017,https://boxd.it/ejUu,
21,Us,2019,https://boxd.it/gnV6,
22,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
