Date,Name,Year,Letterboxd URI
2022-04-21,Ruby Sparks,2012,https://boxd.it/3w9O
2022-04-22,Das Boot,1981,https://boxd.it/2av2
2022-04-22,The Mummy,1999,https://boxd.it/2a7a
2022-04-22,Stargate,1994,https://boxd.it/27iu
2022-04-22,Catch-22,1970,https://boxd.it/1WrK
2022-04-22,Project Almanac,2015,https://boxd.it/6IP4
2022-04-25,Chronicle,2012,https://boxd.it/2Emk
2022-04-25,Ender's Game,2013,https://boxd.it/2N9Y
2022-04-28,Office Space,1999,https://boxd.it/28Em
2022-04-28,Inception,2010,https://boxd.it/1skk
2022-04-28,The Usual Suspects,1995,https://boxd.it/29XE
2022-04-28,American Psycho,2000,https://boxd.it/28Vs
2022-04-28,A Beautiful Mind,2001,https://boxd.it/2amk
2022-04-28,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2022-05-06,Love Actually,2003,https://boxd.it/2aeU
2022-06-08,Every Day,2018,https://boxd.it/gEhC
2022-06-13,The Thing,1982,https://boxd.it/294O
2022-06-14,The Card Counter,2021,https://boxd.it/nTH0
2022-06-14,Shutter Island,2010,https://boxd.it/1U82
2022-06-23,At Eternity's Gate,2018,https://boxd.it/hI40
2022-06-23,American Animals,2018,https://boxd.it/hE4K
2022-06-23,Nobody,2021,https://boxd.it/mLqS
2022-06-23,Forgotten,2017,https://boxd.it/hAJE
2022-07-11,Spider-Man: Beyond the Spider-Verse,2027,https://boxd.it/ykgU
2022-07-12,The VelociPastor,2017,https://boxd.it/glzW
2022-07-13,Buster's Mal Heart,2016,https://boxd.it/cIAg
2022-07-13,The Machinist,2004,https://boxd.it/248c
2022-07-13,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2022-07-13,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2022-07-16,Kimi,2022,https://boxd.it/u7LW
2022-09-04,Close Encounters of the Third Kind,1977,https://boxd.it/29u8
2022-09-04,12 Angry Men,1957,https://boxd.it/2auI
2022-09-09,Eraserhead,1977,https://boxd.it/299u
2022-09-10,The Letter Room,2020,https://boxd.it/sEN8
2022-09-10,Triple Frontier,2019,https://boxd.it/dZUO
2022-09-13,The Lighthouse,2019,https://boxd.it/icFU
2022-09-30,Life Itself,2018,https://boxd.it/fUda
2022-10-26,Shattered Glass,2003,https://boxd.it/1PXa
2022-11-19,The Fallout,2021,https://boxd.it/tViI
2023-01-04,Cha Cha Real Smooth,2022,https://boxd.it/uF8E
2023-06-15,Serendipity,2001,https://boxd.it/1XPy
2026-03-06,We Bought a Zoo,2011,https://boxd.it/2AU8
2026-04-04,Solaris,2002,https://boxd.it/27qS
2026-04-05,Star Wars: Starfighter,2027,https://boxd.it/Su0s
2026-04-05,About Time,2013,https://boxd.it/43bI
2026-04-05,Before Sunrise,1995,https://boxd.it/2bcU
2026-04-05,Ocean's Eleven,2001,https://boxd.it/2aZm
2026-04-05,The Darjeeling Limited,2007,https://boxd.it/24as
2026-04-05,A Clockwork Orange,1971,https://boxd.it/2aVE
2026-04-05,The Professor,2018,https://boxd.it/gLm0
2026-04-08,Brain on Fire,2016,https://boxd.it/bj5g
2026-04-08,Aftersun,2022,https://boxd.it/Arw0
2026-04-09,Dune: Part Three,2026,https://boxd.it/ImWe
2026-04-09,Digger,2026,https://boxd.it/LwDC
2026-04-09,Avengers: Doomsday,2026,https://boxd.it/BVqy
2026-04-11,Free Time,2023,https://boxd.it/EfKW
2026-04-11,On the Count of Three,2021,https://boxd.it/tbfI
2026-04-17,Exit 8,2025,https://boxd.it/S9Kk
2026-04-23,Friday After Next,2002,https://boxd.it/1Wie
2026-04-25,Set It Off,1996,https://boxd.it/1YMg
2026-04-25,Dead Presidents,1995,https://boxd.it/1TQi
2026-04-25,The Best Man,1999,https://boxd.it/1KGI
2026-04-25,House Party,1990,https://boxd.it/1KPU
2026-05-16,"Sorry, Baby",2025,https://boxd.it/JKNi
2026-05-21,Bridget Jones's Diary,2001,https://boxd.it/29WQ
2026-05-28,Strawberry Mansion,2021,https://boxd.it/tblG
2026-06-29,Voicemails for Isabelle,2026,https://boxd.it/mJVk
2026-07-12,Blue Heron,2025,https://boxd.it/IWJq
2026-07-12,Pavane,2026,https://boxd.it/MmUq
2026-07-17,The Prestige,2006,https://boxd.it/293w
2026-07-19,Sonic the Hedgehog 4,2027,https://boxd.it/RUSo
2026-07-19,Hokum,2026,https://boxd.it/SUeq
2026-07-19,Scary Movie,2026,https://boxd.it/MxEo
2026-07-19,I Love Boosters,2026,https://boxd.it/KBIU
2026-07-20,Brüno,2009,https://boxd.it/1GSA
2026-07-20,Hail Satan?,2019,https://boxd.it/kJvC
2026-07-21,Wild Horse Nine,2026,https://boxd.it/xG0M
2026-07-21,The History of Concrete,2026,https://boxd.it/ZsHI
2026-07-21,Fatherland,2026,https://boxd.it/TbK4
2026-07-29,Withnail & I,1987,https://boxd.it/1Qa4
2026-08-04,The Talented Mr. Ripley,1999,https://boxd.it/2924
2026-08-04,Comedian,2002,https://boxd.it/1Eh8
2026-08-11,Nobody Waved Goodbye,1964,https://boxd.it/3XmU
2026-08-13,Teenage Sex and Death at Camp Miasma,2026,https://boxd.it/L9GS
2026-08-14,The Watermelon Woman,1996,https://boxd.it/RRc
2026-08-15,"You, Me & Tuscany",2026,https://boxd.it/TTRe
2026-08-15,The AI Doc: Or How I Became an Apocaloptimist,2026,https://boxd.it/ZsXw
